Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp_1,Rgood,Rair,Rrange,Rthrow,RF/9,RF/G,Season
95,Chad Pinder\pindech01,25,OAK,AL,22,18,14,156,84,29,51,4,9,0.952,-3,-20,-2,-1,-1,-8,0,-1,0,0,-1,1,4.62,3.64,2017
96,Jorge Polanco\polanjo01,23,MIN,AL,130,127,119,1119.2,507,154,335,18,70,0.964,-12,-13,-9,-3,-8,-9,-7,-2,1,0,-11,4,3.93,3.76,2017
97,Jurickson Profar\profaju01,24,TEX,AL,4,4,4,35,17,3,14,0,3,1,1,21,1,0,0,0,0,0,0,0,0,0,4.37,4.25,2017
98,Jack Reinheimer\reinhja01,24,ARI,NL,1,1,1,9,2,0,2,0,1,1,0,53,0,0,0,0,0,0,0,0,0,0,2,2,2017
99,Jose Reyes\reyesjo01,34,NYM,NL,80,71,65,630.1,260,75,182,3,34,0.988,-14,-27,-12,-2,-13,-25,-12,-1,0,0,-9,-3,3.67,3.21,2017
100,Matt Reynolds\reynoma03,26,NYM,NL,10,4,3,43,22,6,15,1,2,0.955,-2,-42,-1,-1,-2,-56,-2,0,0,0,-2,-1,4.4,2.1,2017
101,JT Riddle\riddljt01,25,MIA,NL,69,61,60,561.1,266,81,177,8,33,0.97,8,16,8,0,5,11,5,0,0,1,3,1,4.14,3.74,2017
102,Daniel Robertson\roberda10,23,TBR,AL,24,18,14,160,77,26,48,3,6,0.961,2,14,2,0,0,0,-1,0,1,0,-3,1,4.16,3.08,2017
103,Drew Robinson\robindr01,25,TEX,AL,6,0,0,9,5,3,2,0,0,1,0,27,0,NA,1,133,1,0,0,1,0,0,5,0.83,2017
104,Sean Rodriguez\rodrise01,32,PIT,NL,6,6,5,50,24,8,14,2,3,0.917,0,5,0,0,0,0,0,0,0,0,1,-1,3.96,3.67,2017
105,Miguel Rojas\rojasmi02,28,MIA,NL,77,70,61,612.2,320,118,192,10,57,0.969,-3,-5,-5,2,4,8,0,2,2,-1,-2,2,4.55,4.03,2017
106,Andrew Romine\rominan01,31,DET,AL,10,9,5,74,32,11,21,0,7,1,0,-6,-1,1,-2,-32,-2,0,0,0,-2,0,3.89,3.2,2017
107,Adam Rosales\rosalad01,34,TOT,MLB,65,59,52,514,262,80,173,9,42,0.966,-1,-2,-2,1,-3,-7,-3,0,0,-2,-3,1,4.43,3.89,2017
108,Adam Rosales\rosalad01,34,OAK,AL,55,50,46,439,226,70,148,8,36,0.965,0,0,-1,1,0,0,-1,0,1,-1,-1,1,4.47,3.96,2017
109,Adam Rosales\rosalad01,34,ARI,NL,10,9,6,75,36,10,25,1,6,0.972,-1,-14,-1,0,-3,-48,-2,0,-1,-1,-2,0,4.2,3.5,2017
110,Amed Rosario\rosaram01,21,NYM,NL,45,43,40,374.2,172,59,107,6,22,0.965,-2,-5,-2,0,-6,-19,-5,-1,0,1,-2,-4,3.99,3.69,2017
111,Addison Russell\russead02,23,CHC,NL,101,91,80,808.1,383,113,258,12,49,0.969,10,15,9,1,10,15,11,0,-1,0,9,3,4.13,3.67,2017
